title,location,price,room_size_sqm,listing_date,cam_free_per_month,property_type,is_finish_construct,constructed_year,bedrooms,bathrooms,no_floors,balcony_view,room_furniture,estimate_rent_per_month,url
1 Bedroom Condo for sale at The Room Sathorn-St.Louis ,"Yan Nawa, Sathon,Bangkok",4500000,35,"Apr 28, 2023",N/A,Condo,Completed,Dec 2016,1,1,20,"City View, Unblocked Open View",Partly Furnished,17000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-room-sathorn-stlouis-in-yan-nawa-bangkok-u1401030
Studio Condo for sale at Ideo Mobi Bangsue Grand Interchange ,"Bang Sue, Bang Sue,Bangkok",4500000,34,"Apr 28, 2023",1870,Condo,Completed,Dec 2017,Studio,1,27,City View,Fully Furnished,17200,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-ideo-mobi-bangsue-grand-interchange-in-bang-sue-bangkok-u1399392
Studio Condo for sale at A Space ID Asoke-Ratchada ,"Din Daeng,Bangkok",4200000,33,"Apr 28, 2023",N/A,Condo,Completed,Oct 2019,Studio,1,12,City View,Fully Furnished,15000,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-a-space-id-asoke-ratchada-in-din-daeng-bangkok-u1396834
2 Bedroom Condo for sale at H Sukhumvit 43 ,"Khlong Tan Nuea, Watthana,Bangkok",10000000,74,"Apr 28, 2023",3330,Condo,Completed,Dec 2014,2,2,15,City View,Fully Furnished,50000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-h-sukhumvit-43-in-khlong-tan-nuea-bangkok-u1401506
1 Bedroom Condo for sale at Ashton Asoke ,"Khlong Toei Nuea, Watthana,Bangkok",8034000,34,"Apr 28, 2023",2380,Condo,Completed,Oct 2017,1,1,22,City View,N/A,25000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-ashton-asoke-in-khlong-toei-nuea-bangkok-u1399004
1 Bedroom Condo for sale at H Sukhumvit 43 ,"Khlong Tan Nuea, Watthana,Bangkok",8500000,43,"Apr 28, 2023",1935,Condo,Completed,Dec 2014,1,1,14,City View,Fully Furnished,30000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-h-sukhumvit-43-in-khlong-tan-nuea-bangkok-u1401460
2 Bedroom Condo for sale at Ivy Thonglor ,"Khlong Tan Nuea, Watthana,Bangkok",13500000,86,"Apr 28, 2023",3870,Condo,Completed,Jan 2010,2,2,20,City View,Fully Furnished,53500,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-ivy-thonglor-in-khlong-tan-nuea-bangkok-u1401414
1 Bedroom Condo for sale at Lumpini Park Pinklao ,"Bang Bamru, Bang Phlat,Bangkok",2000000,28,"Apr 28, 2023",N/A,Condo,Completed,Jan 2011,1,1,13,City View,Fully Furnished,8580,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-lumpini-park-pinklao-in-bang-bamru-bangkok-u1401354
3 Bedroom Condo for sale at Royce Private Residences ,"Khlong Toei Nuea, Watthana,Bangkok",32000000,142,"Apr 28, 2023",12780,Condo,Completed,Dec 2012,3,3,26,"City View, Unblocked Open View",Partly Furnished,112000,https://www.fazwaz.com/property-sales/3-bedroom-condo-for-sale-at-royce-private-residences-in-khlong-toei-nuea-bangkok-u1401334
1 Bedroom Condo for sale at Phyll Phahol 34 ,"Sena Nikhom, Chatuchak,Bangkok",3904000,28.26,"Apr 28, 2023",N/A,Condo,Completed,Jan 2020,1,1,2,City View,Fully Furnished,Estimate rent is not available,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-phyll-phahol-34-in-sena-nikhom-bangkok-u1401344
Studio Condo for sale at The Selected Kaset-Ngam Wongwan ,"Lat Yao, Chatuchak,Bangkok",2990000,24.50,"Apr 28, 2023",N/A,Condo,Completed,Sep 2020,Studio,1,6,City View,Fully Furnished,11900,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-the-selected-kaset-ngam-wongwan-in-lat-yao-bangkok-u1401342
2 Bedroom Condo for sale at Villa Rachatewi ,"Thanon Phaya Thai, Ratchathewi,Bangkok",11000000,67.77,"Apr 28, 2023",2711,Condo,Completed,Dec 2008,2,1,8,City View,Fully Furnished,44400,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-villa-rachatewi-in-thanon-phaya-thai-bangkok-u1401340
1 Bedroom Condo for sale at Urbano Rajavithi ,"Bang Phlat, Bang Phlat,Bangkok",4000000,30.66,"Apr 28, 2023",N/A,Condo,Completed,Apr 2019,1,1,12,City View,Fully Furnished,15000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-urbano-rajavithi-in-bang-phlat-bangkok-u1401338
1 Bedroom Condo for sale at Aspire Asoke-Ratchada ,"Din Daeng, Din Daeng,Bangkok",3490000,30,"Apr 28, 2023",1710,Condo,Completed,Aug 2020,1,1,5,City View,Fully Furnished,13200,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-aspire-asoke-ratchada-in-din-daeng-bangkok-u1401324
1 Bedroom Condo for sale at Lak Si National Housing ,"Thung Song Hong, Lak Si,Bangkok",1200000,38,"Apr 28, 2023",300,Condo,Completed,Jan 1994,1,1,4,"Park View, Unblocked Open View",Unfurnished,300,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-lak-si-national-housing-in-thung-song-hong-bangkok-u1401290
1 Bedroom Condo for sale at Maxxi Prime Ratchada - Sutthisan ,"Huai Khwang, Huai Khwang,Bangkok",2790000,28,"Apr 28, 2023",1400,Condo,Completed,Apr 2022,1,1,7,"360° View, City View",Fully Furnished,1400,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-maxxi-prime-ratchada-sutthisan-in-huai-khwang-bangkok-u1401296
1 Bedroom Condo for sale at The Surawong ,"Si Phraya, Bang Rak,Bangkok",6000000,47,"Apr 28, 2023",N/A,Condo,Completed,Dec 2009,1,1,8,City View,Fully Furnished,21500,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-surawong-in-si-phraya-bangkok-u1401216
Studio Condo for sale at Ideo Mobi Bangsue Grand Interchange ,"Bang Sue, Bang Sue,Bangkok",2650000,22,"Apr 28, 2023",1210,Condo,Completed,Dec 2017,Studio,1,27,City View,Fully Furnished,10100,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-ideo-mobi-bangsue-grand-interchange-in-bang-sue-bangkok-u1401134
2 Bedroom Apartment for sale at Ashton Silom ,"Suriyawong, Bang Rak,Bangkok",22000000,86,"Apr 28, 2023",7310,Apartment,Completed,Nov 2018,2,2,23,City View,Fully Furnished,73100,https://www.fazwaz.com/property-sales/2-bedroom-apartment-for-sale-at-ashton-silom-in-suriyawong-bangkok-u1400370
1 Bedroom Condo for sale at Wyndham Bangkok Queen Convention Centre ,"Khlong Toei, Khlong Toei,Bangkok",12420000,57.26,"Apr 28, 2023",4295,Condo,Completed,Nov 2019,1,1,8,City View,Built In,34700,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-wyndham-bangkok-queen-convention-centre-in-khlong-toei-bangkok-u1401510
2 Bedroom Condo for sale at Wyndham Bangkok Queen Convention Centre ,"Khlong Toei, Khlong Toei,Bangkok",20430000,83.20,"Apr 28, 2023",6240,Condo,Completed,Nov 2019,2,2,8,City View,Built In,60500,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-wyndham-bangkok-queen-convention-centre-in-khlong-toei-bangkok-u1401514
1 Bedroom Condo for sale at Park Origin Ratchathewi ,"Thanon Phet Buri, Ratchathewi,Bangkok",10890000,34.16,"Apr 28, 2023",3245,Condo,Completed,Dec 2022,1,1,20,City View,Built In,3245,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-park-origin-ratchathewi-in-thanon-phet-buri-bangkok-u1401472
2 Bedroom Condo for sale at Asoke Place ,"Khlong Toei Nuea, Watthana,Bangkok",10800000,133,"Apr 28, 2023",4655,Condo,Completed,Dec 1996,2,2,20,City View,Fully Furnished,45000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-asoke-place-in-khlong-toei-nuea-bangkok-u1401078
1 Bedroom Condo for sale at The Alcove Thonglor 10 ,"Khlong Tan Nuea, Watthana,Bangkok",6180000,50,"Apr 28, 2023",2750,Condo,Completed,Dec 2010,1,1,7,City View,Fully Furnished,29200,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-alcove-thonglor-10-in-khlong-tan-nuea-bangkok-u1401402
2 Bedroom Condo for sale at Ideo O2 ,"Bang Na, Bang Na,Bangkok",4850000,46,"Apr 28, 2023",2070,Condo,Completed,Dec 2017,2,1,19,"City View, Pool View, Garden View",Fully Furnished,22000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-ideo-o2-in-bang-na-bangkok-u1394758
1 Bedroom Condo for sale at Life Sathorn Sierra ,"Talat Phlu, Thon Buri,Bangkok",2984200,28.65,"Apr 28, 2023",1089,Condo,Completed,Aug 2022,1,1,9,City View,Unfurnished,13100,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-life-sathorn-sierra-in-talat-phlu-bangkok-u1401430
1 Bedroom Condo for sale at Saranjai Mansion ,"Khlong Toei, Khlong Toei,Bangkok",4500000,70,"Apr 28, 2023",1100,Condo,Completed,Dec 1991,1,2,7,"City View, Unblocked Open View",Unfurnished,21900,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-saranjai-mansion-in-khlong-toei-bangkok-u1397320
1 Bedroom Condo for sale at Grand Park View Asoke ,"Khlong Toei Nuea, Watthana,Bangkok",3500000,35,"Apr 27, 2023",1050,Condo,Completed,Dec 2004,1,1,27,City View,Negotiable,14600,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-grand-park-view-asoke-in-khlong-toei-nuea-bangkok-u1397064
Studio Condo for sale at Casa Condo Ratchada-Ratchaphruek ,"Dao Khanong, Thon Buri,Bangkok",2050000,27,"Apr 27, 2023",1100,Condo,Completed,Jan 2014,Studio,1,14,"Skyline View, City View, Pool View, Garden View, Unblocked Open View",Partly Furnished,1100,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-casa-condo-ratchada-ratchaphruek-in-dao-khanong-bangkok-u1397104
Studio Condo for sale at Sathorn Residence ,"Yan Nawa, Sathon,Bangkok",1802500,25,"Apr 27, 2023",N/A,Condo,Completed,Dec 2008,Studio,1,5,Unblocked Open View,Partly Furnished,7000,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-sathorn-residence-in-yan-nawa-bangkok-u1397246
2 Bedroom Condo for sale at Nue District R9 ,"Huai Khwang, Huai Khwang,Bangkok",6798000,35,"Apr 27, 2023",1925,Condo,Off Plan,Mar 2025,2,1,18,"City View, Unblocked Open View",Fully Furnished,1925,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-nue-district-r9-in-huai-khwang-bangkok-u1397260
1 Bedroom Condo for sale at Khun By Yoo ,"Khlong Tan Nuea, Watthana,Bangkok",18000000,54,"Apr 27, 2023",7020,Condo,Completed,Jul 2020,1,1,18,City View,Partly Furnished,61900,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-khun-by-yoo-in-khlong-tan-nuea-bangkok-u1390148
1 Bedroom Condo for sale at Culture Thonglor ,"Phra Khanong, Khlong Toei,Bangkok",5507204,32,"Apr 27, 2023",20000,Condo,Off Plan,Jun 2026,1,1,17,Garden View,Negotiable,20000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-culture-thonglor-in-phra-khanong-bangkok-u1398978
2 Bedroom Condo for sale at Le Cote Thonglor 8 ,"Khlong Tan Nuea, Watthana,Bangkok",11800000,75,"Apr 27, 2023",4125,Condo,Completed,Dec 2012,2,2,8,City View,Fully Furnished,40500,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-le-cote-thonglor-8-in-khlong-tan-nuea-bangkok-u1390140
2 Bedroom Condo for sale at Aspire Sukhumvit 48 ,"Phra Khanong, Khlong Toei,Bangkok",5799000,61,"Apr 27, 2023",2135,Condo,Completed,Dec 2013,2,2,10,"City View, Unblocked Open View",Fully Furnished,25000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-aspire-sukhumvit-48-in-phra-khanong-bangkok-u1397808
2 Bedroom Condo for sale at Metris Ladprao ,"Chomphon, Chatuchak,Bangkok",6000000,47,"Apr 27, 2023",3290,Condo,Completed,Apr 2020,2,1,12,City View,Built In,27800,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-metris-ladprao-in-chomphon-bangkok-u1401056
1 Bedroom Condo for sale at Metris Ladprao ,"Chomphon, Chatuchak,Bangkok",4100000,30.70,"Apr 27, 2023",2149,Condo,Completed,Apr 2020,1,1,11,City View,Built In,2149,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-metris-ladprao-in-chomphon-bangkok-u1401048
2 Bedroom Condo for sale at The Stage Taopoon - Interchange ,"Bang Sue, Bang Sue,Bangkok",6300000,57,"Apr 27, 2023",2109,Condo,Completed,Dec 2017,2,2,29,"City View, Unblocked Open View",Fully Furnished,2109,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-the-stage-taopoon-interchange-in-bang-sue-bangkok-u1396832
2 Bedroom Condo for sale at Lumpini Ville Cultural Center ,"Sam Sen Nok, Huai Khwang,Bangkok",3900000,60,"Apr 27, 2023",1500,Condo,Completed,Dec 2005,2,1,4,Pool View,Fully Furnished,21700,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-lumpini-ville-cultural-center-in-sam-sen-nok-bangkok-u1400708
3 Bedroom Condo for sale at Symphony Sukhumvit ,"Bang Chak, Phra Khanong,Bangkok",9600000,110,"Apr 27, 2023",3850,Condo,Completed,Dec 2009,3,2,7,City View,Fully Furnished,50100,https://www.fazwaz.com/property-sales/3-bedroom-condo-for-sale-at-symphony-sukhumvit-in-bang-chak-bangkok-u1396700
2 Bedroom Condo for sale at Symphony Sukhumvit ,"Bang Chak, Phra Khanong,Bangkok",6000000,82,"Apr 27, 2023",2870,Condo,Completed,Dec 2009,2,2,4,Blocked View,Fully Furnished,2870,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-symphony-sukhumvit-in-bang-chak-bangkok-u1396746
2 Bedroom Condo for sale at Metris District Ladprao ,"Chomphon, Chatuchak,Bangkok",6572000,42,"Apr 27, 2023",2310,Condo,Off Plan,Apr 2025,2,1,24,City View,Built In,2310,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-metris-district-ladprao-in-chomphon-bangkok-u1400950
1 Bedroom Condo for sale at Metris District Ladprao ,"Chomphon, Chatuchak,Bangkok",4134000,28,"Apr 27, 2023",1540,Condo,Off Plan,Apr 2025,1,1,24,City View,Built In,1540,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-metris-district-ladprao-in-chomphon-bangkok-u1400948
Studio Condo for sale at Ease Ratchada ,"Chantharakasem, Chatuchak,Bangkok",1300000,23,"Apr 27, 2023",30,Condo,Completed,Jan 2009,Studio,1,6,"City View, Unblocked Open View",Unfurnished,6000,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-ease-ratchada-in-chantharakasem-bangkok-u1396642
1 Bedroom Condo for sale at Banyan Tree Residences Riverside Bangkok ,"Khlong San, Khlong San,Bangkok",39000000,90,"Apr 27, 2023",13500,Condo,Completed,Dec 2019,1,1,7,"River or Canal View, Unblocked Open View",Fully Furnished,160000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-banyan-tree-residences-riverside-bangkok-in-khlong-san-bangkok-u1396638
Studio Condo for sale at Emerald Residence Ratchada ,"Din Daeng, Din Daeng,Bangkok",1800000,22.86,"Apr 27, 2023",N/A,Condo,Completed,Jan 2012,Studio,1,8,Blocked View,Fully Furnished,10500,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-emerald-residence-ratchada-in-din-daeng-bangkok-u1396624
1 Bedroom Condo for sale at Abstracts Phahonyothin Park ,"Khlong Song Ton Nun, Lat Krabang,Bangkok",4900000,45,"Apr 27, 2023",1575,Condo,Completed,Dec 2011,1,1,15,"City View, Unblocked Open View",Fully Furnished,19100,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-abstracts-phahonyothin-park-in-khlong-song-ton-nun-bangkok-u1396610
1 Bedroom Condo for sale at Fuse Mobius Ramkhamhaeng Station ,"Suan Luang, Suan Luang,Bangkok",1930000,29,"Apr 27, 2023",1450,Condo,Completed,Dec 2011,1,1,25,City View,Partly Furnished,9390,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-fuse-mobius-ramkhamhaeng-station-in-suan-luang-bangkok-u1400186
1 Bedroom Condo for sale at Nusa State Tower Condominium ,"Si Lom, Bang Rak,Bangkok",5701377,61.79,"Apr 27, 2023",2163,Condo,Completed,Dec 2000,1,1,27,City View,Unfurnished,35000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-nusa-state-tower-condominium-in-si-lom-bangkok-u1400556
