lat,lng,property_name
13.8190088,100.5360221,U Delight 2 at Bangsue Station 
13.7503317,100.5555379,Lumpini Suite Phetchaburi - Makkasan 
13.7627824,100.6444637,Ideo Ramkhamhaeng Lamsali Station 
13.7134831,100.5980748,The Nest Sukhumvit 71 
13.7039029,100.6000397,My Condo Sukhumvit 52 
13.7255054,100.5375905,The Legend Saladaeng 
13.730008,100.5720996,Lumpini Suite Sukhumvit 41 
13.7489966,100.6061499,IDEO New Rama 9 
13.7950051,100.5504799,Ideo Mix Phaholyothin 
13.873939,100.597673,Modiz Interchange 
13.7603418,100.5393457,The Extro Phayathai - Rangnam 
13.6857204,100.6220779,ESQUE Sukhumvit 101/1 
13.7255536,100.53145,Klass Silom Condo 
13.8176947,100.5670126,The Line Vibe 
13.7478877,100.5653336,Supalai Premier Asoke 
13.7665252,100.6492301,624 Condolette Ladprao 
13.7791351,100.575858,The Tempo Ratchada 
13.7209805,100.5791088,Ashton Morph 38 
13.6869077,100.606809,The Tree Sukhumvit 64 
13.7356708,100.573371,The Rise Sukhumvit 39 
13.7644052,100.4830752,Aspire Pinklao - ArunAmmarin 
13.805768,100.5320997,Niche Pride Taopoon-Interchange 
13.7083531,100.5927514,Waterford Park Rama 4 
13.8218119,100.6318548,A Space Kaset-Nawamin 
13.7376888,100.5669908,Voque Sukhumvit 31 
13.7248361,100.582661,Avenue 61 
13.8091782,100.5709121,Condo One Ladprao 15 
13.7999099,100.573567,Condo D Ratchada 
13.7376713,100.5792049,Walden Thonglor 13 
13.8363901,100.5742802,Phyll Phahol 34 
13.731226,100.5221252,Supalai Premier Si Phraya - Samyan 
13.7397446,100.5643864,Wind Sukhumvit 23 
13.7356743,100.5677432,Noble Around Sukhumvit 33 
13.7471932,100.558835,Ruamjai Heights 
13.7588324,100.5671935,Siam Condominium 
13.7423665,100.5453461,Tonson One Residence 
13.7305582,100.5878006,Ceil By Sansiri 
13.7323363,100.5746402,Richmond Palace 
13.6564933,100.6344652,The Excel Groove 
13.7508694,100.6064299,Dcondo Ramkhamhaeng 
13.7334618,100.592021,HOLME Ekkamai 22 
13.7902214,100.5474517,The Reserve Phahol-Pradipat 
13.7467345,100.5440417,28 Chidlom 
13.8901022,100.6072222,Episode Phaholyothin - Sapanmai 
13.727769,100.5666355,Pearl Residences Sukhumvit 24 
13.7225893,100.5236848,Pabhada Silom 
13.7920697,100.5036909,De LAPIS Charan 81 
13.7238041,100.526704,Ivy Sathorn 10 
13.712503,100.5490399,Condo One Sathorn 
13.7238216,100.537868,Supalai Icon Sathorn 
13.7080444,100.6016849,The Room Sukhumvit 79 
13.7465478,100.5566247,The Oleander 
13.7296021,100.5841877,The Reserve 61 Hideaway 
13.8312965,100.5688115,Aspire Ratchayothin 
13.858434,100.5865213,Abstracts Phahonyothin Park 
13.6983919,100.6048097,Ideo Sukhumvit 93 
13.778303,100.548447,D'Memoria 
13.7141711,100.5946657,The Bloom Sukhumvit 71 
13.7422597,100.5596365,Noble BE19 
13.7185743,100.5794276,Silver Heritage 
13.8363741,100.5822144,You 2 Condo 
13.7645596,100.5602024,Aspire Asoke-Ratchada 
13.7051139,100.5924413,The BASE Sukhumvit 50 
13.7193005,100.5267258,St. Louis Grand Terrace 
13.7331615,100.570637,Le Raffine Sukhumvit 39 
13.7780132,100.486134,The Parkland Charan - Pinklao 
13.670195,100.6429464,Baan Ruenrom Bangna 
13.7378837,100.5663373,Baan Siri 31 
13.7144805,100.5934944,Sky Walk Residences 
13.7459559,100.569116,Baan Saraan 
13.696744,100.4130115,Niran City Bangkhae 
13.7131084,100.5144593,The Station Sathorn - Bangrak 
13.7185489,100.5904982,Plus 67 
13.718148,100.5510113,The Teak Sathorn-Lumpini 
13.7459958,100.5455597,Somkid Gardens 
13.6724937,100.5440295,S.V. City Rama 3 
13.7631659,100.5691682,Noble Revolve Ratchada 2 
13.754429,100.5641084,Rhythm Asoke 2 
13.8165098,100.534831,Regent Home 20 Prachachuen 16 
13.730524,100.5756169,The 49 Plus 2 
13.7388938,100.6148439,Pattanakarn Life Complex 
13.8277358,100.6753978,Chrisma Condo Ramintra 
13.6553001,100.6465013,Aspen Condo Lasalle 
13.7561839,100.5682693,One 9 Five Asoke - Rama 9 
13.7373657,100.5838911,The Height 
13.8333009,100.5693187,Young Place Grand Le Jardin 
13.7896472,100.5890631,A Space Play 
13.7149786,100.5533441,The Royal Navin Tower 
13.7372943,100.5899595,Tai Ping Towers 
13.8324638,100.6254589,The Unique Kaset-Nawamin 
13.78384,100.70579,Niran Residence 8 
13.7152874,100.447355,THE BASE Phetkasem 
13.7151732,100.5908525,Rhythm Sukhumvit 44/1 
13.723856,100.5663463,Bright Sukhumvit 24 
13.7458972,100.5556716,Circle Sukhumvit 11 
13.8006081,100.5089998,Supalai City Resort Charan 91 
13.7074492,100.4312272,The Lake Kallaprapruk - Wutthakat 
13.7152002,100.6421011,Prima Srinagarindra Condo 
13.8018267,100.5722311,The Unique 19 
13.7520516,100.5340501,The Address Siam-Ratchathewi 
13.7375078,100.5619872,Las Colinas 
13.7430342,100.5711212,Siamese Gioia 
13.805616,100.5731265,The Unique Ladprao 26 
13.730824,100.5864445,Movenpick Residences Ekkamai 
13.7867356,100.5717854,The Kris Extra 5 
13.7874353,100.5581131,Metro Luxe Phaholyothin-Sutthisan 
13.7776259,100.5763759,The Colory Vivid 
13.6602778,100.605897,The Excel Hybrid 
13.762792,100.5406328,Supreme Condo Ratchawithi 3 
