lat,lng,property_name,trainstation_name,trainstation_lat,trainstation_lng,subway_station_name,subway_station_lat,subway_station_lng,subway_station_distance_meter,train_station_distance_meter
13.8190088,100.5360221,U Delight 2 at Bangsue Station,Nikhom Rotphai Khomo Sip-Et,13.82445,100.54854,Bang Son,13.8202164,100.5325217,688,3160
13.7503317,100.5555379,Lumpini Suite Phetchaburi - Makkasan,Makkasan,13.7511902,100.5607675,Makkasan,13.7510295,100.5612129,1404,1366
13.7627824,100.6444637,Ideo Ramkhamhaeng Lamsali Station,Hua Mak,13.73805,100.6454302,Huamark,13.7380459,100.6451813,3326,3353
13.7134831,100.5980748,The Nest Sukhumvit 71,Sukhumvit 71,13.7429334,100.6004022,Phra Khanong,13.7151737,100.5912598,1048,4651
13.7039029,100.6000397,My Condo Sukhumvit 52,Sukhumvit 71,13.7429334,100.6004022,On Nut,13.7056546,100.6010035,297,6020
13.7255054,100.5375905,The Legend Saladaeng,Silom MRT Station,13.7293606,100.5378782,Si Lom,13.7292504,100.5365446,663,785
13.730008,100.5720996,Lumpini Suite Sukhumvit 41,Asoke,13.749458,100.5638356,Phrom Phong,13.73042,100.5697,376,3001
13.7489966,100.6061499,IDEO New Rama 9,Sukhumvit 71,13.7429334,100.6004022,Ramkhamhaeng,13.7429925,100.6001474,2827,2855
13.7950051,100.5504799,Ideo Mix Phaholyothin,Krung Thep Aphiwat Central Terminal Station (Bang Sue Grand Station),13.80369,100.54227,Saphan Khwai BTS Station,13.7937663,100.5497095,153,2126
13.873939,100.597673,Modiz Interchange,Lak Si,13.8836546,100.5807382,Bang Bua,13.855994,100.585171,5046,3434
13.7603418,100.5393457,The Extro Phayathai - Rangnam,Phaya Thai,13.7567379,100.5348422,Victory Monument,13.762793,100.537085,595,1000
13.6857204,100.6220779,ESQUE Sukhumvit 101/1,Hua Mak,13.7381496,100.6401853,Punnawithi,13.689267,100.608987,2020,8638
13.7255536,100.53145,Klass Silom Condo,Silom MRT Station,13.7293606,100.5378782,Sala Daeng BTS Station,13.7284782,100.5341135,984,1073
13.8176947,100.5670126,The Line Vibe,Nikhom Rotphai Khomo Sip-Et,13.82445,100.54854,Phahon Yothin,13.8142366,100.5601484,1123,3511
13.7478877,100.5653336,Supalai Premier Asoke,Asoke,13.749458,100.5638356,Phetchaburi,13.7487037,100.5631241,393,442
13.7665252,100.6492301,624 Condolette Ladprao,Hua Mak,13.73805,100.6454302,N/A,"","",null,4017
13.7791351,100.575858,The Tempo Ratchada,Sutthisan MRT Station,13.7898476,100.5741786,Huai Khwang,13.7785142,100.5736451,289,1543
13.7209805,100.5791088,Ashton Morph 38,Khlong Tan,13.744097,100.5896845,Ekkamai,13.7195166,100.5851075,1131,3497
13.6869077,100.606809,The Tree Sukhumvit 64,Sukhumvit 71,13.7429334,100.6004022,Punnawithi,13.689267,100.608987,449,8145
13.7356708,100.573371,The Rise Sukhumvit 39,Asoke,13.749458,100.5638356,Phrom Phong,13.73042,100.5697,974,3184
13.7644052,100.4830752,Aspire Pinklao - ArunAmmarin,Thon Buri,13.7605789,100.4788689,Bang Khun Non,13.7631942,100.473206,1906,1372
13.805768,100.5320997,Niche Pride Taopoon-Interchange,Bang Sue,13.8043718,100.5399431,Tao Poon,13.8061278,100.530761,228,1014
13.7083531,100.5927514,Waterford Park Rama 4,Sukhumvit 71,13.7429334,100.6004022,Phra Khanong,13.7151737,100.5912598,873,5377
13.8218119,100.6318548,A Space Kaset-Nawamin,Sutthisan MRT Station,13.7898476,100.5741786,N/A,"","",null,9173
13.7376888,100.5669908,Voque Sukhumvit 31,Asoke,13.749458,100.5638356,Sukhumvit,13.7385266,100.5614475,1328,1850
13.7248361,100.582661,Avenue 61,Khlong Tan,13.744097,100.5896845,Ekkamai,13.7195166,100.5851075,826,3523
13.8091782,100.5709121,Condo One Ladprao 15,Sutthisan MRT Station,13.7898476,100.5741786,Lat Phrao,13.8061019,100.5736521,544,2448
13.7999099,100.573567,Condo D Ratchada,Sutthisan MRT Station,13.7898476,100.5741786,Ratchadaphisek,13.7991493,100.5746134,209,1214
13.7376713,100.5792049,Walden Thonglor 13,Khlong Tan,13.744097,100.5896845,Phrom Phong,13.73042,100.5697,1677,1991
13.8363901,100.5742802,Phyll Phahol 34,Bang Khen,13.8469567,100.5607095,Bang Bua,13.855994,100.585171,2559,3622
13.731226,100.5221252,Supalai Premier Si Phraya - Samyan,Bangkok Train Station,13.7393362,100.5167954,Samyan,13.7323496,100.5299928,867,1440
13.7397446,100.5643864,Wind Sukhumvit 23,Asoke,13.749458,100.5638356,Sukhumvit,13.7385266,100.5614475,516,1362
13.7356743,100.5677432,Noble Around Sukhumvit 33,Asoke,13.749458,100.5638356,Phrom Phong,13.73042,100.5697,739,2179
